Netzbetreiber;Anlagenart;Bestand_2024.0;Prognosen_2030.0;Prognosen_2035.0;Prognosen_2045.0;Anmerkungen_2045.0;Planungsregion;Prognose_2030.0;Prognose_2035.0;Prognose_2045.0;Verteilnetzbetreiber_Bestand;Verteilnetzbetreiber_Prognosen Basisszenario;Verteilnetzbetreiber_Prognosen Basisszenario_1;Verteilnetzbetreiber_Prognosen Basisszenario_2;Verteilnetzbetreiber_Prognosen Effizienzszenario;Verteilnetzbetreiber_Prognosen Effizienzszenario_1;Verteilnetzbetreiber_Prognosen Effizienzszenario_2;Verteilnetzbetreiber_Anmerkungen;Übertragungsnetzbetreiber_Szenario A;Übertragungsnetzbetreiber_Szenario A_1;Übertragungsnetzbetreiber_Szenario B;Übertragungsnetzbetreiber_Szenario B_1;Übertragungsnetzbetreiber_Anmerkungen
AVU Netz GmbH;Sonstige erneuerbare Erzeugung;21.122999999999998;;;;;West;20.781285714285712;19.335857142857144;17.179857142857145;;;;;;;;;;;;;
AVU Netz GmbH;Konventionelle Kraftwerke;9.13152;;;;;West;6.957348571428572;4.783177142857143;0.0;;;;;;;;;;;;;
AVU Netz GmbH;Wärmepumpen (für dezentrale Wärmelösungen);31.225030000000316;;;;;West;68.62788714285745;111.53340142857172;154.52960142857177;;;;;;;;;;;;;
AVU Netz GmbH;Elektrischer Bedarf für zentrale Wärmelösungen;0.0;;;;;West;0.7628571428571429;8.997142857142858;20.68714285714286;;;;;;;;;;;;;
AVU Netz GmbH;Elektromobilität;62.3433;;;;;West;519.25956817914;821.9789611893332;1172.0064027374788;;;;;;;;;;;;;
AVU Netz GmbH;Konventionelle Last (umfasst Haushalte, Gewerbe, Handel, Industrie, Landwirtschaft);234.87432812893428;;;;;West;252.67444665611345;232.28901808468487;209.70201808468488;;;;;;;;;;;;;
AVU Netz GmbH;Stand-alone Rechenzentren;0.18;;;;;West;0.2;0.0;0.0;;;;;;;;;;;;;
AVU Netz GmbH;Elektrolyseure;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
AVU Netz GmbH;Kleinbatteriespeicher (< 1 MW);27.808479999999875;;;;;West;57.88896999999987;144.9484842857142;233.74468428571416;;;;;;;;;;;;;
AVU Netz GmbH;Großbatteriespeicher (ab 1 MW);2.2;;;;;West;37.2;50.0;50.0;;;;;;;;;;;;;
AVU Netz GmbH;Pumpspeicher;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Bonn-Netz GmbH;Photovoltaik auf oder an Gebäuden (MWp);55.694;;;;;West;89.2;142.0;194.0;;;;;;;;;;;;;
Bonn-Netz GmbH;Photovoltaik Freifläche (MWp);0.07390000000000001;;;;;West;4.0;5.0;6.4;;;;;;;;;;;;;
Bonn-Netz GmbH;Windenergie an Land;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Bonn-Netz GmbH;Windenergie auf See;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Bonn-Netz GmbH;Sonstige erneuerbare Erzeugung;0.089;;;;;West;0.1;0.1;0.1;;;;;;;;;;;;;
Bonn-Netz GmbH;Konventionelle Kraftwerke;49.22;;;;;West;48.0;47.0;45.0;;;;;;;;;;;;;
Bonn-Netz GmbH;Wärmepumpen (für dezentrale Wärmelösungen);23.28;;;;;West;87.6;150.0;195.6;;;;;;;;;;;;;
Bonn-Netz GmbH;Elektrischer Bedarf für zentrale Wärmelösungen;0.0;;;;;West;10.0;22.8;22.8;;;;;;;;;;;;;
Bonn-Netz GmbH;Elektromobilität;77.94;;;;;West;513.6999999999999;977.9;1491.6;;;;;;;;;;;;;
Bonn-Netz GmbH;Konventionelle Last (umfasst Haushalte, Gewerbe, Handel, Industrie, Landwirtschaft);234.713;;;;;West;234.0;210.0;200.0;;;;;;;;;;;;;
Bonn-Netz GmbH;Stand-alone Rechenzentren;13.0;;;;;West;30.0;55.0;55.0;;;;;;;;;;;;;
Bonn-Netz GmbH;Elektrolyseure;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Bonn-Netz GmbH;Kleinbatteriespeicher (< 1 MW);31.19;;;;;West;35.9;95.4;169.2;;;;;;;;;;;;;
Bonn-Netz GmbH;Großbatteriespeicher (ab 1 MW);0.0;;;;;West;30.0;40.0;40.0;;;;;;;;;;;;;
Bonn-Netz GmbH;Pumpspeicher;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Dortmunder Netz GmbH;Photovoltaik auf oder an Gebäuden (MWp);130.18;;;;;West;165.2;252.8;428.0;;;;;;;;;;;;;
Dortmunder Netz GmbH;Photovoltaik Freifläche (MWp);0.0;;;;;West;10.0;20.0;30.0;;;;;;;;;;;;;
Dortmunder Netz GmbH;Windenergie an Land;13.6;;;;;West;39.1;39.1;39.1;;;;;;;;;;;;;
Dortmunder Netz GmbH;Windenergie auf See;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Dortmunder Netz GmbH;Sonstige erneuerbare Erzeugung;19.0;;;;;West;19.0;19.0;19.0;;;;;;;;;;;;;
Dortmunder Netz GmbH;Konventionelle Kraftwerke;14.2;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Dortmunder Netz GmbH;Wärmepumpen (für dezentrale Wärmelösungen);33.76;;;;;West;135.8;246.1;334.5;;;;;;;;;;;;;
Dortmunder Netz GmbH;Elektrischer Bedarf für zentrale Wärmelösungen;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Dortmunder Netz GmbH;Elektromobilität;141.85;;;;;West;507.0;872.0;1601.08;;;;;;;;;;;;;
Dortmunder Netz GmbH;Konventionelle Last (umfasst Haushalte, Gewerbe, Handel, Industrie, Landwirtschaft);333.9;;;;;West;324.6;298.9;270.5;;;;;;;;;;;;;
Dortmunder Netz GmbH;Stand-alone Rechenzentren;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Dortmunder Netz GmbH;Elektrolyseure;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Dortmunder Netz GmbH;Kleinbatteriespeicher (< 1 MW);37.7;;;;;West;66.0;101.0;171.0;;;;;;;;;;;;;
Dortmunder Netz GmbH;Großbatteriespeicher (ab 1 MW);0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Dortmunder Netz GmbH;Pumpspeicher;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
ELE Verteilnetz GmbH;Photovoltaik auf oder an Gebäuden (MWp);119.3;;;;;West;291.48;418.92;542.29;;;;;;;;;;;;;
ELE Verteilnetz GmbH;Photovoltaik Freifläche (MWp);0.75;;;;;West;1.83;13.0;15.5;;;;;;;;;;;;;
ELE Verteilnetz GmbH;Windenergie an Land;28.1;;;;;West;46.84;63.94;64.16;;;;;;;;;;;;;
ELE Verteilnetz GmbH;Windenergie auf See;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
ELE Verteilnetz GmbH;Sonstige erneuerbare Erzeugung;12.72;;;;;West;12.72;7.97;3.22;;;;;;;;;;;;;
ELE Verteilnetz GmbH;Konventionelle Kraftwerke;18.65;;;;;West;18.65;9.32;0.0;;;;;;;;;;;;;
ELE Verteilnetz GmbH;Wärmepumpen (für dezentrale Wärmelösungen);23.8;;;;;West;47.1;65.3;72.5;;;;;;;;;;;;;
ELE Verteilnetz GmbH;Elektrischer Bedarf für zentrale Wärmelösungen;0.0;;;;;West;20.0;94.0;131.6;;;;;;;;;;;;;
ELE Verteilnetz GmbH;Elektromobilität;31.0;;;;;West;193.5;307.7;496.0;;;;;;;;;;;;;
ELE Verteilnetz GmbH;Konventionelle Last (umfasst Haushalte, Gewerbe, Handel, Industrie, Landwirtschaft);265.0;;;;;West;231.0;193.0;159.0;;;;;;;;;;;;;
ELE Verteilnetz GmbH;Stand-alone Rechenzentren;0.0;;;;;West;2.5;6.0;12.0;;;;;;;;;;;;;
ELE Verteilnetz GmbH;Elektrolyseure;0.0;;;;;West;25.0;25.0;25.0;;;;;;;;;;;;;
ELE Verteilnetz GmbH;Kleinbatteriespeicher (< 1 MW);25.0;;;;;West;104.93;150.81;195.23;;;;;;;;;;;;;
ELE Verteilnetz GmbH;Großbatteriespeicher (ab 1 MW);0.0;;;;;West;30.0;50.0;80.0;;;;;;;;;;;;;
ELE Verteilnetz GmbH;Pumpspeicher;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Energienetze Mittelrhein GmbH & Co. KG;Photovoltaik auf oder an Gebäuden (MWp);348.337;;;;;West;662.7650884955752;852.8605014749265;1233.0513274336283;;;;;;;;;;;;;
Energienetze Mittelrhein GmbH & Co. KG;Photovoltaik Freifläche (MWp);90.424;;;;;West;172.04566371681418;221.39209439528025;320.0849557522124;;;;;;;;;;;;;
Energienetze Mittelrhein GmbH & Co. KG;Windenergie an Land;145.231;;;;;West;249.2770895522388;281.7914925373135;346.82029850746267;;;;;;;;;;;;;
Energienetze Mittelrhein GmbH & Co. KG;Windenergie auf See;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Energienetze Mittelrhein GmbH & Co. KG;Sonstige erneuerbare Erzeugung;28.4787;;;;;West;28.4787;28.4787;28.4787;;;;;;;;;;;;;
Energienetze Mittelrhein GmbH & Co. KG;Konventionelle Kraftwerke;12.031;;;;;West;9.575693877551016;7.529605442176864;3.4374285714285713;;;;;;;;;;;;;
Energienetze Mittelrhein GmbH & Co. KG;Wärmepumpen (für dezentrale Wärmelösungen);29.584;;;;;West;120.39999999999999;186.39999999999995;318.4;;;;;;;;;;;;;
Energienetze Mittelrhein GmbH & Co. KG;Elektrischer Bedarf für zentrale Wärmelösungen;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Energienetze Mittelrhein GmbH & Co. KG;Elektromobilität;158.25;;;;;West;562.25;814.6800000000001;1278.18;;;;;;;;;;;;;
Energienetze Mittelrhein GmbH & Co. KG;Konventionelle Last (umfasst Haushalte, Gewerbe, Handel, Industrie, Landwirtschaft);320.0;;;;;West;320.0;320.0;320.0;;;;;;;;;;;;;
Energienetze Mittelrhein GmbH & Co. KG;Stand-alone Rechenzentren;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Energienetze Mittelrhein GmbH & Co. KG;Elektrolyseure;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Energienetze Mittelrhein GmbH & Co. KG;Kleinbatteriespeicher (< 1 MW);56.56482699999868;;;;;West;92.20273998168284;121.90100079975298;181.2975224358932;;;;;;;;;;;;;
Energienetze Mittelrhein GmbH & Co. KG;Großbatteriespeicher (ab 1 MW);0.0;;;;;West;2.383865310830215;3.0236408288805734;4.3031918649812875;;;;;;;;;;;;;
Energienetze Mittelrhein GmbH & Co. KG;Pumpspeicher;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Energienetze Offenbach GmbH (ENO);Photovoltaik auf oder an Gebäuden (MWp);100.48;;;;;West;185.0;250.0;315.0;;;;;;;;;;;;;
Energienetze Offenbach GmbH (ENO);Photovoltaik Freifläche (MWp);4.1;;;;;West;15.0;30.0;50.0;;;;;;;;;;;;;
Energienetze Offenbach GmbH (ENO);Windenergie an Land;0.0;;;;;West;0.0;0.1;0.2;;;;;;;;;;;;;
Energienetze Offenbach GmbH (ENO);Windenergie auf See;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Energienetze Offenbach GmbH (ENO);Sonstige erneuerbare Erzeugung;5.9;;;;;West;6.0;6.0;6.0;;;;;;;;;;;;;
Energienetze Offenbach GmbH (ENO);Konventionelle Kraftwerke;88.07;;;;;West;88.07;32.7;30.0;;;;;;;;;;;;;
Energienetze Offenbach GmbH (ENO);Wärmepumpen (für dezentrale Wärmelösungen);8.2;;;;;West;17.5;25.0;40.0;;;;;;;;;;;;;
Energienetze Offenbach GmbH (ENO);Elektrischer Bedarf für zentrale Wärmelösungen;18.2;;;;;West;70.0;136.4;214.5;;;;;;;;;;;;;
Energienetze Offenbach GmbH (ENO);Elektromobilität;37.0;;;;;West;116.18;153.85;222.0;;;;;;;;;;;;;
Energienetze Offenbach GmbH (ENO);Konventionelle Last (umfasst Haushalte, Gewerbe, Handel, Industrie, Landwirtschaft);127.0;;;;;West;639.9;503.0;578.0;;;;;;;;;;;;;
Energienetze Offenbach GmbH (ENO);Stand-alone Rechenzentren;91.0;;;;;West;595.0;855.0;888.0;;;;;;;;;;;;;
Energienetze Offenbach GmbH (ENO);Elektrolyseure;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Energienetze Offenbach GmbH (ENO);Kleinbatteriespeicher (< 1 MW);19.05;;;;;West;60.0;112.5;190.0;;;;;;;;;;;;;
Energienetze Offenbach GmbH (ENO);Großbatteriespeicher (ab 1 MW);0.0;;;;;West;19.6;111.0;174.0;;;;;;;;;;;;;
Energienetze Offenbach GmbH (ENO);Pumpspeicher;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
energis-Netzgesellschaft mbH;Photovoltaik auf oder an Gebäuden (MWp);294.3;;;;;West;776.047234180883;1079.286204889168;1390.5148295479944;;;;;;;;;;;;;
energis-Netzgesellschaft mbH;Photovoltaik Freifläche (MWp);255.9;;;;;West;537.0;771.2500000000001;1239.7499999999998;;;;;;;;;;;;;
energis-Netzgesellschaft mbH;Windenergie an Land;375.793;;;;;West;654.74919954564;887.2126991670066;1352.1396984097405;;;;;;;;;;;;;
energis-Netzgesellschaft mbH;Windenergie auf See;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
energis-Netzgesellschaft mbH;Sonstige erneuerbare Erzeugung;23.85;;;;;West;23.85;23.85;23.85;;;;;;;;;;;;;
energis-Netzgesellschaft mbH;Konventionelle Kraftwerke;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
energis-Netzgesellschaft mbH;Wärmepumpen (für dezentrale Wärmelösungen);92.78999999999999;;;;;West;206.45;297.05;422.31278992362456;;;;;;;;;;;;;
energis-Netzgesellschaft mbH;Elektrischer Bedarf für zentrale Wärmelösungen;0.0;;;;;West;5.0;26.6;44.5;;;;;;;;;;;;;
energis-Netzgesellschaft mbH;Elektromobilität;70.37;;;;;West;211.11;633.33;1673.2120000000004;;;;;;;;;;;;;
energis-Netzgesellschaft mbH;Konventionelle Last (umfasst Haushalte, Gewerbe, Handel, Industrie, Landwirtschaft);255.431;;;;;West;304.63100000000003;345.57416666666677;386.574166666667;;;;;;;;;;;;;
energis-Netzgesellschaft mbH;Stand-alone Rechenzentren;2.0;;;;;West;5.0;8.0;14.0;;;;;;;;;;;;;
energis-Netzgesellschaft mbH;Elektrolyseure;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
energis-Netzgesellschaft mbH;Kleinbatteriespeicher (< 1 MW);62.343;;;;;West;192.3685;300.253;516.022;;;;;;;;;;;;;
energis-Netzgesellschaft mbH;Großbatteriespeicher (ab 1 MW);0.0;;;;;West;75.09;214.859;300.0;;;;;;;;;;;;;
energis-Netzgesellschaft mbH;Pumpspeicher;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
ENERVIE Vernetzt GmbH;Photovoltaik auf oder an Gebäuden (MWp);181.59300000000002;;;;;West;430.180599311641;666.464092392533;967.219180038874;;;;;;;;;;;;;
ENERVIE Vernetzt GmbH;Photovoltaik Freifläche (MWp);1.8090000000000002;;;;;West;15.6;27.2;49.8;;;;;;;;;;;;;
ENERVIE Vernetzt GmbH;Windenergie an Land;50.24;;;;;West;155.63460441431;168.9504756183038;170.5123300290378;;;;;;;;;;;;;
ENERVIE Vernetzt GmbH;Windenergie auf See;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
ENERVIE Vernetzt GmbH;Sonstige erneuerbare Erzeugung;34.949999999999996;;;;;West;36.142671053411;32.7040464340014;25.967326802579997;;;;;;;;;;;;;
ENERVIE Vernetzt GmbH;Konventionelle Kraftwerke;882.4;;;;;West;841.5;801.0;720.0;;;;;;;;;;;;;
ENERVIE Vernetzt GmbH;Wärmepumpen (für dezentrale Wärmelösungen);11.924999999999999;;;;;West;189.69375000000002;368.2725;710.9;;;;;;;;;;;;;
ENERVIE Vernetzt GmbH;Elektrischer Bedarf für zentrale Wärmelösungen;0.0;;;;;West;10.8;54.1;99.2;;;;;;;;;;;;;
ENERVIE Vernetzt GmbH;Elektromobilität;19.385;;;;;West;393.42525;693.9834999999999;1237.8;;;;;;;;;;;;;
ENERVIE Vernetzt GmbH;Konventionelle Last (umfasst Haushalte, Gewerbe, Handel, Industrie, Landwirtschaft);733.1;;;;;West;704.624460814602;655.109635317093;614.613238090511;;;;;;;;;;;;;
ENERVIE Vernetzt GmbH;Stand-alone Rechenzentren;0.0;;;;;West;10.0;10.0;310.0;;;;;;;;;;;;;
ENERVIE Vernetzt GmbH;Elektrolyseure;0.0;;;;;West;0.0;50.0;130.0;;;;;;;;;;;;;
ENERVIE Vernetzt GmbH;Kleinbatteriespeicher (< 1 MW);34.03;;;;;West;109.3;270.0;473.7;;;;;;;;;;;;;
ENERVIE Vernetzt GmbH;Großbatteriespeicher (ab 1 MW);19.58;;;;;West;110.0;185.0;575.0;;;;;;;;;;;;;
ENERVIE Vernetzt GmbH;Pumpspeicher;140.0;;;;;West;140.0;140.0;140.0;;;;;;;;;;;;;
e-netz Südhessen AG;Photovoltaik auf oder an Gebäuden (MWp);471.9;;;;;West;832.2;1107.0;1342.1;;;;;;;;;;;;;
e-netz Südhessen AG;Photovoltaik Freifläche (MWp);41.7;;;;;West;239.1;391.4;608.8;;;;;;;;;;;;;
e-netz Südhessen AG;Windenergie an Land;138.6;;;;;West;316.0;472.4;778.4;;;;;;;;;;;;;
e-netz Südhessen AG;Windenergie auf See;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
e-netz Südhessen AG;Sonstige erneuerbare Erzeugung;22.2;;;;;West;21.3;20.7;20.4;;;;;;;;;;;;;
e-netz Südhessen AG;Konventionelle Kraftwerke;138.4;;;;;West;137.0;136.4;124.5;;;;;;;;;;;;;
e-netz Südhessen AG;Wärmepumpen (für dezentrale Wärmelösungen);29.2;;;;;West;225.8;409.0;817.0;;;;;;;;;;;;;
e-netz Südhessen AG;Elektrischer Bedarf für zentrale Wärmelösungen;1.0;;;;;West;4.0;16.0;29.0;;;;;;;;;;;;;
e-netz Südhessen AG;Elektromobilität;126.6;;;;;West;1273.4;2344.0;4625.9;;;;;;;;;;;;;
e-netz Südhessen AG;Konventionelle Last (umfasst Haushalte, Gewerbe, Handel, Industrie, Landwirtschaft);521.9;;;;;West;521.9;521.9;521.9;;;;;;;;;;;;;
e-netz Südhessen AG;Stand-alone Rechenzentren;20.0;;;;;West;20.0;20.0;20.0;;;;;;;;;;;;;
e-netz Südhessen AG;Elektrolyseure;0.0;;;;;West;8.0;8.0;8.0;;;;;;;;;;;;;
e-netz Südhessen AG;Kleinbatteriespeicher (< 1 MW);85.8;;;;;West;228.2;506.0;762.0;;;;;;;;;;;;;
e-netz Südhessen AG;Großbatteriespeicher (ab 1 MW);0.0;;;;;West;82.3;107.3;117.3;;;;;;;;;;;;;
e-netz Südhessen AG;Pumpspeicher;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
EWR Netz GmbH (Worms);Photovoltaik auf oder an Gebäuden (MWp);353.9;;;;;West;714.6;1003.3000000000001;1450.0;;;;;;;;;;;;;
EWR Netz GmbH (Worms);Photovoltaik Freifläche (MWp);22.3;;;;;West;437.2;689.8;1105.0;;;;;;;;;;;;;
EWR Netz GmbH (Worms);Windenergie an Land;361.90000000000003;;;;;West;904.0;1086.2;1274.0;;;;;;;;;;;;;
EWR Netz GmbH (Worms);Windenergie auf See;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
EWR Netz GmbH (Worms);Sonstige erneuerbare Erzeugung;5.7;;;;;West;5.5;5.5;5.5;;;;;;;;;;;;;
EWR Netz GmbH (Worms);Konventionelle Kraftwerke;40.0;;;;;West;37.2;32.4;33.0;;;;;;;;;;;;;
EWR Netz GmbH (Worms);Wärmepumpen (für dezentrale Wärmelösungen);99.30000000000001;;;;;West;152.2;253.20000000000002;416.7;;;;;;;;;;;;;
EWR Netz GmbH (Worms);Elektrischer Bedarf für zentrale Wärmelösungen;0.1;;;;;West;10.0;15.0;20.0;;;;;;;;;;;;;
EWR Netz GmbH (Worms);Elektromobilität;123.39999999999999;;;;;West;1016.6;1727.0;2618.1;;;;;;;;;;;;;
EWR Netz GmbH (Worms);Konventionelle Last (umfasst Haushalte, Gewerbe, Handel, Industrie, Landwirtschaft);293.0;;;;;West;322.6;337.2;366.5;;;;;;;;;;;;;
EWR Netz GmbH (Worms);Stand-alone Rechenzentren;0.0;;;;;West;40.0;43.0;45.0;;;;;;;;;;;;;
EWR Netz GmbH (Worms);Elektrolyseure;0.0;;;;;West;1.0;5.0;15.0;;;;;;;;;;;;;
EWR Netz GmbH (Worms);Kleinbatteriespeicher (< 1 MW);79.60000000000001;;;;;West;348.0;571.0;916.4;;;;;;;;;;;;;
EWR Netz GmbH (Worms);Großbatteriespeicher (ab 1 MW);0.0;;;;;West;261.2;277.8;331.5;;;;;;;;;;;;;
EWR Netz GmbH (Worms);Pumpspeicher;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Mainzer Netze GmbH;Photovoltaik auf oder an Gebäuden (MWp);177.74;;;;;West;394.9;560.8;771.8;;;;;;;;;;;;;
Mainzer Netze GmbH;Photovoltaik Freifläche (MWp);3.25;;;;;West;94.27;186.6;339.4;;;;;;;;;;;;;
Mainzer Netze GmbH;Windenergie an Land;26.05;;;;;West;73.78;156.96;195.0;;;;;;;;;;;;;
Mainzer Netze GmbH;Windenergie auf See;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Mainzer Netze GmbH;Sonstige erneuerbare Erzeugung;22.5;;;;;West;22.05;21.8;22.4;;;;;;;;;;;;;
Mainzer Netze GmbH;Konventionelle Kraftwerke;975.0;;;;;West;975.0;750.0;650.0;;;;;;;;;;;;;
Mainzer Netze GmbH;Wärmepumpen (für dezentrale Wärmelösungen);31.75;;;;;West;73.57;148.36;313.21;;;;;;;;;;;;;
Mainzer Netze GmbH;Elektrischer Bedarf für zentrale Wärmelösungen;0.0;;;;;West;3.22;118.46;120.64;;;;;;;;;;;;;
Mainzer Netze GmbH;Elektromobilität;174.69;;;;;West;364.79;685.55;1296.82;;;;;;;;;;;;;
Mainzer Netze GmbH;Konventionelle Last (umfasst Haushalte, Gewerbe, Handel, Industrie, Landwirtschaft);424.26;;;;;West;444.35;459.54;493.25;;;;;;;;;;;;;
Mainzer Netze GmbH;Stand-alone Rechenzentren;69.64;;;;;West;229.06;347.15;385.81;;;;;;;;;;;;;
Mainzer Netze GmbH;Elektrolyseure;0.0;;;;;West;15.0;15.0;15.0;;;;;;;;;;;;;
Mainzer Netze GmbH;Kleinbatteriespeicher (< 1 MW);35.826;;;;;West;74.97;138.97;207.18;;;;;;;;;;;;;
Mainzer Netze GmbH;Großbatteriespeicher (ab 1 MW);0.0;;;;;West;15.0;40.0;100.0;;;;;;;;;;;;;
Mainzer Netze GmbH;Pumpspeicher;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Netze Duisburg GmbH;Photovoltaik auf oder an Gebäuden (MWp);90.0;;;;;West;169.0;292.0;660.0;;;;;;;;;;;;;
Netze Duisburg GmbH;Photovoltaik Freifläche (MWp);0.3;;;;;West;4.9;7.1;11.7;;;;;;;;;;;;;
Netze Duisburg GmbH;Windenergie an Land;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Netze Duisburg GmbH;Windenergie auf See;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Netze Duisburg GmbH;Sonstige erneuerbare Erzeugung;5.46;;;;;West;2.73;0.0;0.0;;;;;;;;;;;;;
Netze Duisburg GmbH;Konventionelle Kraftwerke;321.5;;;;;West;381.5;381.5;381.5;;;;;;;;;;;;;
Netze Duisburg GmbH;Wärmepumpen (für dezentrale Wärmelösungen);31.0;;;;;West;47.0;70.5;131.25;;;;;;;;;;;;;
Netze Duisburg GmbH;Elektrischer Bedarf für zentrale Wärmelösungen;30.0;;;;;West;80.0;110.0;110.0;;;;;;;;;;;;;
Netze Duisburg GmbH;Elektromobilität;142.0;;;;;West;360.0;773.0;1601.0;;;;;;;;;;;;;
Netze Duisburg GmbH;Konventionelle Last (umfasst Haushalte, Gewerbe, Handel, Industrie, Landwirtschaft);324.0;;;;;West;324.0;324.0;324.0;;;;;;;;;;;;;
Netze Duisburg GmbH;Stand-alone Rechenzentren;10.0;;;;;West;27.8;43.0;49.0;;;;;;;;;;;;;
Netze Duisburg GmbH;Elektrolyseure;0.0;;;;;West;12.0;12.0;12.0;;;;;;;;;;;;;
Netze Duisburg GmbH;Kleinbatteriespeicher (< 1 MW);25.4;;;;;West;80.9;136.7;255.9;;;;;;;;;;;;;
Netze Duisburg GmbH;Großbatteriespeicher (ab 1 MW);0.0;;;;;West;25.0;35.0;55.0;;;;;;;;;;;;;
Netze Duisburg GmbH;Pumpspeicher;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Netzgesellschaft Düsseldorf mbH;Photovoltaik auf oder an Gebäuden (MWp);81.607;;;;;West;148.0;203.2;313.4;;;;;;;;;;;;;
Netzgesellschaft Düsseldorf mbH;Photovoltaik Freifläche (MWp);2.005;;;;;West;22.0;47.0;107.0;;;;;;;;;;;;;
Netzgesellschaft Düsseldorf mbH;Windenergie an Land;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Netzgesellschaft Düsseldorf mbH;Windenergie auf See;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
Netzgesellschaft Düsseldorf mbH;Sonstige erneuerbare Erzeugung;5.024;;;;;West;5.024;5.024;5.024;;;;;;;;;;;;;
Netzgesellschaft Düsseldorf mbH;Konventionelle Kraftwerke;1160.208;;;;;West;805.5;766.8;706.8;;;;;;;;;;;;;
Netzgesellschaft Düsseldorf mbH;Wärmepumpen (für dezentrale Wärmelösungen);15.76752453;;;;;West;77.6276059165756;173.914268471267;400.085036107963;;;;;;;;;;;;;
Netzgesellschaft Düsseldorf mbH;Elektrischer Bedarf für zentrale Wärmelösungen;0.0;;;;;West;110.0;129.0;160.0;;;;;;;;;;;;;
Netzgesellschaft Düsseldorf mbH;Elektromobilität;53.28;;;;;West;461.9167059918217;951.219845169317;2188.92523455597;;;;;;;;;;;;;
Netzgesellschaft Düsseldorf mbH;Konventionelle Last (umfasst Haushalte, Gewerbe, Handel, Industrie, Landwirtschaft);517.0;;;;;West;593.0;629.0;740.0;;;;;;;;;;;;;
Netzgesellschaft Düsseldorf mbH;Stand-alone Rechenzentren;0.0;;;;;West;61.0;111.0;261.0;;;;;;;;;;;;;
Netzgesellschaft Düsseldorf mbH;Elektrolyseure;0.0;;;;;West;10.0;10.0;10.0;;;;;;;;;;;;;
Netzgesellschaft Düsseldorf mbH;Kleinbatteriespeicher (< 1 MW);24.9;;;;;West;45.7;65.1;106.7;;;;;;;;;;;;;
Netzgesellschaft Düsseldorf mbH;Großbatteriespeicher (ab 1 MW);0.0;;;;;West;10.0;10.0;10.0;;;;;;;;;;;;;
Netzgesellschaft Düsseldorf mbH;Pumpspeicher;0.0;;;;;West;0.0;0.0;0.0;;;;;;;;;;;;;
NEW Netz GmbH;Photovoltaik auf oder an Gebäuden (MWp);414.8;;;;;West;981.54;1415.274;1829.67;;;;;;;;;;;;;
NEW Netz GmbH;Photovoltaik Freifläche (MWp);8.3;;;;;West;212.0;240.0;260.0;;;;;;;;;;;;;
