keys;MSTR_key;vnb_names;vnb_vlevels;date_erhebung;area_ns;length_ns;area_ms;length_ms;area_hs;length_hs;count_storage_requests_ns;count_storage_requests_ms;count_storage_requests_hs;sum_storage_requests_ns;sum_storage_requests_ms;sum_storage_requests_hs;umsetzungsquote_ee_ns;umsetzungsquote_ee_ms;umsetzungsquote_ee_hs;umsetzungsquote_storage_ns;umsetzungsquote_storage_ms;umsetzungsquote_storage_hs;count_realized_ee_ns;count_requests_ee_ns;count_realized_ee_ms;count_requests_ee_ms;count_realized_ee_hs;count_requests_ee_hs;count_realized_storage_ns;count_requests_storage_ns;count_realized_storage_ms;count_requests_storage_ms;count_realized_storage_hs;count_requests_storage_hs;duration_storage_ns;duration_storage_ms;duration_storage_hs;duration_ee_ns;duration_ee_ms;duration_ee_hs;digital_score_total;digital_score_smart_grids;digital_score_processes_systems;digital_score_data_management_analysis;digital_score_customer_management
10001258;SNB931316685899;Stadtwerke Zirndorf GmbH;MS;2025-06-12;7.0;351.0;6.0;64.3;0.0;0.0;230.0;0.0;0.0;1471.0;0.0;0.0;1.0;;;0.0269;;;404.0;404.0;0.0;0.0;0.0;0.0;19.0;706.0;0.0;0.0;0.0;0.0;10.0;;;10.0;;;0.27;0.21;0.0;0.62;0.27
10001261;SNB952939058372;Stadtwerke Clausthal-Zellerfeld GmbH;NS, MS;2025-06-05;8.53;121.0;43.71;70.33;0.0;0.0;36.0;0.0;0.0;220.0;0.0;0.0;0.3514;;;;;;52.0;148.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;;;17.0;;;0.43;0.11;0.0;0.63;0.99
10001265;SNB942630156484;TauberEnergie Kuhn, Karl und Andreas Kuhn OHG;NS, MS;2025-06-26;4.0;27.3;40.0;9.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;;;;;41.0;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;55.0;;;0.14;0.05;0.0;0.29;0.23
10001268;SNB994749019716;Energieversorgung Sylt GmbH;NS, MS;2025-05-23;37.44;524.0;37.44;295.0;0.0;0.0;0.0;1.0;0.0;0.0;20000.0;0.0;1.0;;;1.0;;;54.0;54.0;0.0;0.0;0.0;0.0;151.0;151.0;0.0;0.0;0.0;0.0;28.0;28.0;;14.0;;;;;0.24;0.45;
10001273;SNB989583209836;EVU der Gemeinde Gochsheim;NS, MS;2025-06-25;15.0;48.8;15.0;19.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;;;;;26.0;26.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;;;23.0;65.0;;0.2;0.0;0.0;0.53;0.25
10001277;SNB974959002937;Elektrizitätsgenossenschaft Wolkersdorf und Umgebung eG;NS, MS;2025-06-17;2.25;98.2;21.12;35.7;0.0;0.0;32.0;0.0;0.0;352.0;0.0;0.0;1.0;;;1.0;;;39.0;39.0;0.0;0.0;0.0;0.0;52.0;52.0;0.0;0.0;0.0;0.0;8.0;;;8.0;44.0;;0.46;0.2;0.33;1.0;0.29
10001278;SNB985347645049;Stadtwerke Nettetal GmbH;NS, MS;2025-08-07;21.32;337.58;83.0;335.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;;1.0;;;685.0;685.0;0.0;0.0;0.0;0.0;393.0;393.0;0.0;0.0;0.0;0.0;5.0;;;5.0;;;;0.26;0.33;0.33;
10001282;SNB976987786759;Stadtwerke Treuchtlingen KU;NS, MS;2025-06-13;10.76;182.6;103.41;183.1;0.0;0.0;69.0;0.0;0.0;485.0;0.0;0.0;1.0;1.0;;1.0;;;96.0;96.0;9.0;9.0;0.0;0.0;86.0;86.0;0.0;0.0;0.0;0.0;11.0;;;11.0;11.0;;0.35;0.1;0.33;0.67;0.31
10001285;SNB966813503780;SWT Stadtwerke Trier Versorgungs-GmbH;NS, MS;2025-05-27;34.29;689.399;125.49;397.325;0.0;0.0;300.0;0.0;0.0;0.0;0.0;0.0;1.0087;0.5455;;0.1058;0.3333;;928.0;920.0;12.0;22.0;0.0;0.0;80.0;756.0;1.0;3.0;0.0;0.0;50.0;80.0;;76.0;141.0;;0.55;0.26;0.12;0.84;0.98
10001287;SNB982241851170;Freitaler Stadtwerke GmbH;NS, MS;2025-06-13;10.95;332.0;40.46;114.0;0.0;0.0;233.0;0.0;0.0;1222.0;0.0;0.0;1.0;;;1.0;;;457.0;457.0;0.0;0.0;0.0;0.0;323.0;323.0;0.0;0.0;0.0;0.0;40.0;;;40.0;;;0.31;0.37;0.0;0.67;0.2
10001289;SNB991381724831;Fürstlich Fugger von Glött´sche Elektrizitätswerk GmbH & Co KG;NS;2025-08-25;3.3;62.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;153.0;0.0;0.0;1.0;;;1.0;;;13.0;13.0;0.0;0.0;0.0;0.0;10.0;10.0;0.0;0.0;0.0;0.0;10.0;;;10.0;;;;0.02;0.0;0.0;
10001294;SNB921899277833;NRM Netzdienste Rhein-Main GmbH;NS, MS, HS;2025-07-03;95.0;2806.0;222.13;2452.0;243.49;180.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;;0.5888;1.0;;0.0;0.0;4.0;4.0;0.0;0.0;600.0;1019.0;45.0;45.0;0.0;0.0;135.0;455.0;;185.0;308.0;;;0.27;0.75;1.0;
10001307;SNB945552907998;Stadtwerke Haiger;NS, MS;2025-07-16;4.0;116.1;4.0;26.5;0.0;0.0;3.0;0.0;0.0;15.0;0.0;0.0;1.0;1.0;;0.2;1.0;;22.0;22.0;3.0;3.0;0.0;0.0;4.0;20.0;3.0;3.0;0.0;0.0;30.0;270.0;;20.0;40.0;;0.53;0.21;0.67;0.25;0.98
10001311;SNB921626387354;Energie- und Wassergesellschaft mbh;NS, MS;2025-08-25;22.265;472.8;75.67;185.3;0.0;0.0;22.0;0.0;0.0;107.0;0.0;0.0;;;;0.9277;;;0.0;0.0;0.0;0.0;0.0;0.0;154.0;166.0;0.0;0.0;0.0;0.0;37.0;54.0;;47.0;57.0;;0.51;0.06;0.0;1.0;0.97
10001313;SNB917593691679;Elektrizitätswerk Unterwössen Döllerer&Greimel Netz GmbH&Co.KG;NS, MS;2025-05-26;5.0;54.0;5.0;9.0;0.0;0.0;24.0;0.0;0.0;138.0;0.0;0.0;1.0;;;1.0;;;26.0;26.0;0.0;0.0;0.0;0.0;37.0;37.0;0.0;0.0;0.0;0.0;35.0;;;35.0;;;0.13;0.02;0.0;0.24;0.27
10001320;SNB914630088973;Stadtwerke Neustrelitz GmbH;NS, MS;2025-06-30;13.0;313.343;139.0;159.788;0.0;0.0;94.0;0.0;0.0;658.0;0.0;0.0;0.8394;1.0;;0.0949;;;115.0;137.0;5.0;5.0;0.0;0.0;13.0;137.0;0.0;0.0;0.0;0.0;41.0;;;51.0;14.0;;0.38;0.3;0.33;0.45;0.46
10001322;SNB957862279702;LSW Netz GmbH & Co. KG;NS, MS, HS;2025-07-16;273.04;3546.5;2153.61349237529;2183.7;1068.45;224.99;2348.0;3.0;22.0;16069.0;33840.0;1417240.0;1.0;1.0;1.0;1.0;1.0;1.0;4800.0;4800.0;49.0;49.0;27.0;27.0;4430.0;4430.0;17.0;17.0;22.0;22.0;25.0;271.0;408.0;42.0;386.0;583.0;0.37;0.19;0.38;0.68;0.22
10001325;SNB979326623005;Stadtwerke Rhede GmbH;NS, MS;2025-05-21;12.03;404.0;78.7;159.0;0.0;0.0;153.0;1.0;0.0;1220.0;734.0;0.0;1.0;1.0;;0.2744;;;322.0;322.0;6.0;6.0;0.0;0.0;208.0;758.0;0.0;0.0;0.0;0.0;134.0;291.0;;104.0;291.0;;0.35;0.25;0.23;0.09;0.82
10001330;SNB984060961757;Stadtwerke Bad Pyrmont GmbH;NS, MS;2025-07-10;10.69;200.722;31.75;81.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;1.0;;;0.0;0.0;0.0;0.0;0.0;0.0;12.0;12.0;0.0;0.0;0.0;0.0;82.0;135.0;;59.0;;;0.17;0.2;0.0;0.33;0.15
10001335;SNB943531720705;Städtische Betriebswerke Luckenwalde GmbH;NS, MS;2025-08-28;10.75;155.0;45.46;101.0;0.0;0.0;106.0;1.0;0.0;433.0;12000.0;0.0;1.0;;;0.9484;;;230.0;230.0;0.0;0.0;0.0;0.0;239.0;252.0;0.0;0.0;0.0;0.0;24.0;66.0;;22.0;;;0.23;0.27;0.0;0.46;0.2
10001337;SNB997465895442;Energie- und Bäderbetrieb Hauenstein;NS, MS;2025-05-28;2.16;69.27;13.91;17.21;0.0;0.0;31.0;0.0;0.0;158.0;0.0;0.0;1.0;;;1.0;;;25.0;25.0;0.0;0.0;0.0;0.0;36.0;36.0;0.0;0.0;0.0;0.0;;;;30.0;;;0.42;0.08;0.27;0.6;0.74
10001338;SNB943042904373;Stadtwerke Kempen GmbH;NS, MS;2025-06-02;69.0;442.0;0.0;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;
10001344;SNB916927144072;Stadtwerke Villingen-Schwenningen GmbH;NS, MS;2025-08-21;33.26;868.09;174.84;328.15;0.0;0.0;436.0;5.0;0.0;9067.0;53000.0;0.0;0.9961;1.0;;1.0;1.0;;761.0;764.0;39.0;39.0;0.0;0.0;569.0;569.0;10.0;10.0;0.0;0.0;30.0;270.0;;90.0;150.0;;0.39;0.31;0.4;0.39;0.45
10001346;SNB933494191209;Stadtwerke Waldshut-Tiengen GmbH;NS, MS;2025-05-19;10.56;393.133;77.97;142.562;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;;0.9496;1.0;;350.0;350.0;3.0;3.0;0.0;0.0;113.0;119.0;4.0;4.0;0.0;0.0;21.0;111.0;;40.0;120.0;;;;0.0;1.0;
10001350;SNB969871992015;Albstadtwerke GmbH;NS, MS;2025-10-02;28.41;660.0;193.87;297.0;0.0;0.0;30.0;6.0;0.0;990.0;35000.0;0.0;0.9975;1.0;;0.4885;0.4444;;404.0;405.0;37.0;37.0;0.0;0.0;85.0;174.0;4.0;9.0;0.0;0.0;141.0;141.0;;24.0;390.0;;0.27;0.18;0.0;0.63;0.27
10001355;SNB941555074781;Stromversorgung Seebruck eG;NS;2025-05-20;2.0;80.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;211.0;0.0;0.0;1.0;;;1.0;;;33.0;33.0;0.0;0.0;0.0;0.0;27.0;27.0;0.0;0.0;0.0;0.0;35.0;;;49.0;;;0.31;0.0;0.25;0.67;0.33
10001358;SNB999125588145;Stadtwerke Parchim GmbH;NS, MS;2025-07-16;10.5;179.7;124.81;104.0;0.0;0.0;55.0;0.0;0.0;275.0;0.0;0.0;1.0;;;1.0;;;212.0;212.0;0.0;0.0;0.0;0.0;170.0;170.0;0.0;0.0;0.0;0.0;50.0;120.0;;24.0;;;0.23;0.0;0.0;0.33;0.58
10001360;SNB947193557761;Stadtwerke Mössingen;NS, MS;2025-06-30;7.0;184.2;50.06;93.16;0.0;0.0;168.0;0.0;0.0;1064.0;0.0;0.0;0.5;;;1.0;1.0;;184.0;368.0;0.0;0.0;0.0;0.0;217.0;217.0;8.0;8.0;0.0;0.0;31.0;31.0;;31.0;;;0.3;0.15;0.33;0.47;0.26
10001361;SNB952677840789;Stadtwerke Heilbad Heiligenstadt GmbH;NS, MS;2025-08-14;8.0;265.0;62.2;124.0;0.0;0.0;69.0;0.0;0.0;460.0;0.0;0.0;1.0;1.0;;0.5393;;;91.0;91.0;3.0;3.0;0.0;0.0;96.0;178.0;0.0;0.0;0.0;0.0;50.0;;;55.0;55.0;;0.45;0.17;0.4;0.77;0.46
10001364;SNB982380015723;Stadtwerke Bogen GmbH;NS, MS;2025-07-14;5.77303847810481;160.7;49.7409;38.2;0.0;0.0;37.0;0.0;0.0;232.0;0.0;0.0;1.0;;;1.0;;;77.0;77.0;0.0;0.0;0.0;0.0;53.0;53.0;0.0;0.0;0.0;0.0;6.0;;;6.0;;;0.39;0.31;0.33;0.67;0.25
10001365;SNB982726407335;Stadtwerke Aalen GmbH;NS, MS;2025-08-07;29.25;700.99;146.63;316.53;0.0;0.0;379.0;0.0;0.0;2415.6;0.0;0.0;0.869;0.2778;;0.5293;;;471.0;542.0;5.0;18.0;0.0;0.0;262.0;495.0;0.0;0.0;0.0;0.0;25.0;197.0;;197.0;197.0;;0.58;0.44;0.67;0.67;0.56
10001366;SNB921550647487;E-Werk Meckenheim/Pfalz;NS, MS;2025-07-16;1.77;29.1109000405091;15.06;5.4295127;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;;;;;31.0;31.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.0;;;105.0;;;0.14;0.01;0.33;0.0;0.2
10001369;SNB988606051575;Elektrizitätsgenossenschaft Unterneukirchen eG;NS, MS;2025-06-11;20.6;151.0;0.0;48.0;0.0;0.0;40.0;0.0;0.0;500.0;0.0;0.0;1.0;;;;;;108.0;108.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;;;19.0;;;0.38;0.03;0.33;0.47;0.67
10001370;SNB979557818782;EGT Energie GmbH;NS, MS;2025-07-14;18.64;800.32;256.5;401.54;0.0;0.0;259.0;0.0;0.0;1412.0;0.0;0.0;0.7786;0.9474;;1.0;;;408.0;524.0;36.0;38.0;0.0;0.0;425.0;425.0;0.0;0.0;0.0;0.0;8.0;27.0;;8.0;32.0;;0.24;0.34;0.07;0.37;0.18
10001372;SNB950882682972;Elektrizitäts-Genossenschaft Schonstett eG;MS;2025-06-16;1.77;77.54;27.79;35.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9231;;;;;;48.0;52.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.0;;;42.0;42.0;;0.38;0.09;0.0;0.98;0.47
10001377;SNB940436967099;Gemeindewerke Niefern-Öschelbronn;NS, MS;2025-08-21;22.0;171.04;22.0;57.07;0.0;0.0;78.0;0.0;0.0;870.0;0.0;0.0;1.0;0.3333;;1.0;;;97.0;97.0;2.0;6.0;0.0;0.0;184.0;184.0;0.0;0.0;0.0;0.0;4.0;61.0;;6.0;4.0;;0.11;0.03;0.0;0.27;0.16
10001378;SNB924819944297;Gemeindewerke Holzkirchen GmbH;NS, MS;2025-06-03;15.86;92.45;16.0;61.61;0.0;0.0;15.0;0.0;0.0;136.0;0.0;0.0;1.0;;;1.0;;;36.0;36.0;0.0;0.0;0.0;0.0;78.0;78.0;0.0;0.0;0.0;0.0;194.0;;;194.0;425.0;;0.34;0.12;0.4;0.6;0.24
10001385;SNB966494112844;Raiffeisenbank Altmühl-Jura eG;NS, MS;2025-07-14;3.28;36.75;4.1;21.6;0.0;0.0;45.0;0.0;0.0;562.0;0.0;0.0;1.0;;;0.617;;;38.0;38.0;0.0;0.0;0.0;0.0;29.0;47.0;0.0;0.0;0.0;0.0;43.0;30.0;;37.0;;;0.25;0.06;0.33;0.33;0.26
10001386;SNB934457029447;Stadtwerke Bad Säckingen GmbH;NS, MS;2025-09-04;6.13;189.4;25.33;57.9;0.0;0.0;122.0;0.0;0.0;1539.1;0.0;0.0;1.0;;;1.0;;;146.0;146.0;0.0;0.0;0.0;0.0;161.0;161.0;0.0;0.0;0.0;0.0;44.0;374.0;;94.0;364.0;;0.25;0.47;0.0;0.33;0.18
10001388;SNB948741734467;Stadtwerke Bad Wörishofen;NS, MS;2025-07-21;8.89;247.0;57.79;107.0;0.0;0.0;85.0;0.0;0.0;675.0;0.0;0.0;1.0;1.0;;1.0;;;151.0;151.0;5.0;5.0;0.0;0.0;167.0;167.0;0.0;0.0;0.0;0.0;35.0;;;35.0;325.0;;0.23;0.21;0.0;0.41;0.3
10001391;SNB913244202027;Stadtwerke Bretten GmbH;NS, MS;2025-09-01;7.69;290.0;42.86;130.0;0.0;0.0;200.0;0.0;0.0;3500.0;0.0;0.0;1.0;;;1.0;;;261.0;261.0;0.0;0.0;0.0;0.0;261.0;261.0;0.0;0.0;0.0;0.0;10.0;;;10.0;;;0.17;0.15;0.0;0.24;0.3
10001398;SNB972264483465;Überlandwerk Eppler GmbH;NS, MS;2025-05-23;39.82;151.6;39.82;55.6;0.0;0.0;1.0;0.0;0.0;360.0;0.0;0.0;1.0;;;;;;94.0;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;;21.0;;;;;;0.33;
10001399;SNB914963192408;Stadtwerke Trostberg Stromversorgung GmbH;NS, MS;2025-07-31;2.9;96.0;22.6;42.0;0.0;0.0;30.0;0.0;0.0;210.0;0.0;0.0;1.0;;;0.8413;1.0;;113.0;113.0;0.0;0.0;0.0;0.0;53.0;63.0;5.0;5.0;0.0;0.0;20.0;80.0;;20.0;;;0.3;0.24;0.33;0.33;0.31
